iter	Passed	Remaining
399	75869	433782
400	76074	433679
401	76292	433654
402	76534	433760
403	76733	433622
404	76944	433548
405	77125	433306
406	77269	432860
407	77480	432789
408	77678	432645
409	77841	432307
410	78044	432187
411	78208	431854
412	78374	431534
413	78510	431050
414	78653	430605
415	78835	430375
416	79030	430213
417	79230	430079
418	79388	429718
419	79566	429470
420	79803	429535
421	80059	429703
422	80264	429595
423	80438	429320
424	80620	429093
425	80860	429165
426	81114	429320
427	81367	429461
428	81626	429633
429	81830	429512
430	82154	430025
431	82314	429675
432	82497	429443
433	82773	429699
434	83001	429700
435	83392	430539
436	83658	430737
437	83812	430352
438	83958	429927
439	84133	429654
440	84312	429399
441	84466	429019
442	84654	428812
443	84903	428915
444	85057	428534
445	85234	428274
446	85440	428159
447	85577	427694
448	85734	427338
449	85907	427054
450	86040	426578
451	86215	426308
452	86374	425963
453	86600	425944
454	86839	425988
455	87091	426098
456	87269	425846
457	87446	425587
458	87635	425386
459	87793	425033
460	87991	424876
461	88182	424689
462	88346	424366
463	88537	424179
464	88728	423990
465	88880	423615
466	89073	423432
467	89259	423221
468	89419	422885
469	89608	422686
470	89779	422402
471	89984	422281
472	90200	422205
473	90383	421978
474	90567	421759
475	90727	421423
476	90912	421210
477	91101	421008
478	91286	420795
479	91469	420569
480	91660	420382
481	91840	420143
482	91994	419786
483	92186	419602
484	92370	419380
485	92571	419238
486	92709	418811
487	92870	418489
488	93031	418166
489	93247	418089
490	93407	417764
491	93556	417392
492	93789	417392
493	93959	417112
494	94135	416857
495	94293	416525
496	94479	416316
497	94754	416502
498	94963	416393
499	95108	416004
500	95286	415763
501	95445	415434
502	95613	415149
503	95793	414916
504	96006	414825
505	96224	414756
506	96500	414933
507	96859	415465
508	97131	415623
509	97335	415490
510	97538	415349
511	97718	415112
512	97915	414947
513	98175	415049
514	98372	414883
515	98585	414786
516	98750	414486
517	98893	414090
518	99027	413662
519	99219	413477
520	99372	413129
521	99562	412935
522	99704	412543
523	99921	412461
524	100183	412566
525	100388	412430
526	100605	412350
527	100806	412197
528	100989	411975
529	101175	411765
530	101371	411595
531	101523	411244
532	101724	411095
533	101926	410950
534	102126	410798
535	102305	410557
536	102510	410424
537	102774	410523
538	102953	410286
539	103107	409948
540	103279	409682
541	103441	409374
542	103590	409018
543	103801	408910
544	104002	408757
545	104154	408415
546	104333	408178
547	104507	407921
548	104667	407612
549	104851	407397
550	105056	407261
551	105261	407124
552	105407	406760
553	105592	406550
554	105758	406266
555	105920	405965
556	106113	405782
557	106288	405535
558	106434	405175
559	106601	404896
560	106762	404595
561	106910	404245
562	107079	403974
563	107241	403678
564	107376	403279
565	107556	403052
566	107743	402850
567	107947	402711
568	108200	402756
569	108426	402700
570	108704	402833
571	108931	402780
572	109213	402927
573	109410	402758
574	109554	402397
575	109766	402286
576	109921	401966
577	110260	402315
578	110533	402424
579	110762	402373
580	111015	402406
581	111275	402467
582	111515	402452
583	111723	402318
584	111935	402203
585	112274	402542
586	112442	402263
587	112641	402098
588	112912	402189
589	113141	402131
590	113353	402011
591	113640	402156
592	113921	402278
593	114080	401970
594	114340	402016
595	114554	401900
596	114738	401679
597	114940	401523
598	115110	401254
599	115284	400997
600	115460	400748
601	115627	400469
602	115800	400212
603	115972	399950
604	116202	399890
605	116347	399537
606	116501	399215
607	116685	398994
608	116821	398612
609	117064	398594
610	117252	398391
611	117423	398128
612	117566	397768
613	117742	397524
614	117882	397157
615	118080	396988
616	118266	396778
617	118455	396576
618	118634	396343
619	118863	396274
620	119056	396087
621	119276	395990
622	119502	395913
623	119735	395857
624	119907	395598
625	120080	395344
626	120282	395186
